platform,count,likes_mean,likes_median,likes_std,dislikes_mean,dislikes_median,dislikes_std,like_ratio_mean,like_ratio_median,like_ratio_std,tag_count_mean,tag_count_median,tag_count_std,total_likes,total_dislikes
poki,1664,188748.99759615384,41900.0,603681.4791213727,36109.49819711538,9050.0,109890.50352846796,0.8107849397590362,0.8256,0.09655564796845174,6.246394230769231,6.0,2.7228105246174032,314078332,60086205
newgrounds,9742,59.689899404639704,37.0,83.54734546966378,30.710634366659825,28.0,13.742320711289581,0.5956739991788134,0.5932,0.11283230922720122,2.1955450626154795,2.0,0.6373134455298646,581499,299183
