feature,coefficient,std_err,t_value,p_value,ci_lower,ci_upper,significant_005,significant_001
const,-45129.6312,2508.6021,-17.99,0.0,-50052.0003,-40207.2621,True,True
horsepower,78.7417,14.9589,5.2639,0.0,49.3893,108.0941,True,True
torque_nm,12.2045,16.7901,0.7269,0.4675,-20.741,45.15,False,False
warranty_years,11331.6505,485.4453,23.3428,0.0,10379.1117,12284.1894,True,True
charging_speed_kw,72.9195,7.6264,9.5615,0.0,57.955,87.8839,True,True
autopilot_level,2461.614,661.2099,3.7229,0.0002,1164.1906,3759.0374,True,True
