signal,anomaly_label,t_pvalue,ks_pvalue,cohens_d,t_significant,ks_significant,mean_rel_diff_pct,significant,abs_cohens_d,min_pvalue
MotorData.ActSpeed,2,3.3709468435013683e-84,0.0,5.898650593899429,True,True,-91486.9377456451,True,5.898650593899429,0.0
MotorData.ActCurrent,1,4.89155756298332e-71,1.5662501924798987e-107,2.8711154080148975,True,True,-74858.73282375291,True,2.8711154080148975,1.5662501924798987e-107
MotorData.IsForce,1,3.158293131544675e-68,7.19675551435232e-104,2.8116394878848174,True,True,-21951.786414232305,True,2.8116394878848174,7.19675551435232e-104
MotorData.IsAcceleration,2,2.2964596851360025e-19,0.3254910514979531,-2.717394581667094,True,False,83713.21776814734,True,2.717394581667094,2.2964596851360025e-19
MotorData.ActCurrent,2,8.853131047034703e-10,1.601180911613562e-08,1.8496402824975977,True,True,-48280.81562320505,True,1.8496402824975977,8.853131047034703e-10
MotorData.IsForce,2,1.2460980787185184e-06,1.833729632521148e-07,1.4628272254311427,True,True,-11433.833762533559,True,1.4628272254311427,1.833729632521148e-07
MotorData.IsAcceleration,1,8.477087474112897e-06,0.5412090123080129,0.7141020396584464,True,False,-21911.00091674306,True,0.7141020396584464,8.477087474112897e-06
MotorData.ActSpeed,1,0.9678586790995188,0.008239800750365234,0.006460091589220874,False,True,-100.0,True,0.006460091589220874,0.008239800750365234
